Fold,Accuracy,Macro_F1,Alert_F1,Low_Vigilant_F1,Drowsy_F1
1,0.9107243121841662,0.9118989865248889,0.8929212739816652,0.93792948068041,0.9048462049125913
2,0.7614938561369599,0.7548638627157254,0.7828612926652142,0.7874533889010747,0.6942769065808873
3,0.8323404866145123,0.8286726842656406,0.8926947266569908,0.8085539714867617,0.7847693546531692
4,1.0,1.0,1.0,1.0,1.0
5,0.8211343845610732,0.8260480694511033,0.7895274347785721,0.8465814341300723,0.8420353394446659
Mean,0.8651386078993424,0.8642967205914717,0.8716009456164885,0.8761036550396637,0.8451855611182628
Std,0.09222252234917362,0.0940597382322531,0.08943797900491958,0.09009179759093665,0.11614685404556538
