Fold,Accuracy,Macro_F1,Alert_F1,Low_Vigilant_F1,Drowsy_F1
1,0.8385525400139179,0.8366227684909878,0.8666666666666667,0.8194130925507901,0.8237885462555066
2,0.7921810699588477,0.7908238916018563,0.8013082583810303,0.7957497048406139,0.7754137115839244
3,0.8088445078459344,0.8043335149369772,0.8733459357277883,0.7797001153402537,0.7599544937428896
4,0.9958540630182421,0.9957447661979404,1.0,0.9933244325767691,0.9939098660170523
5,0.8806552262090483,0.8779217685684472,0.8879668049792531,0.9216374269005848,0.8241610738255034
Mean,0.8632174814091982,0.8610893419592418,0.8858575331509477,0.8619649544418022,0.8354455382849751
Std,0.08140560340745091,0.08242039264442247,0.07194852510067248,0.09189496782710424,0.0931086539855607
